date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:27:41	173/173	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Oct%202025%2023:27:40%20GMT	https://www.ilabsolutions.it/robots.txt		(from )
19:27:41	29374/29374	---MCZ	200	added ('OK')	text/html	date:Sat,%2003%20Jun%202023%2013:41:20%20GMT	https://www.ilabsolutions.it/	C:/Users/User/Documents/Projects/sites/ilab/www.ilabsolutions.it/index.html	(from )
19:27:41	17681/17681	---MCZ	200	added ('OK')	text/css	date:Wed,%2003%20Jul%202019%2015:11:17%20GMT	https://www.ilabsolutions.it/css/style.css	C:/Users/User/Documents/Projects/sites/ilab/www.ilabsolutions.it/css/style.css	(from https://www.ilabsolutions.it/)
19:27:42	3593/3593	---MCZ	200	added ('OK')	text/css	date:Wed,%2003%20Jul%202019%2015:11:16%20GMT	https://www.ilabsolutions.it/css/mediaquery.css	C:/Users/User/Documents/Projects/sites/ilab/www.ilabsolutions.it/css/mediaquery.css	(from https://www.ilabsolutions.it/)
19:27:42	4895/4895	---MCZ	200	added ('OK')	text/css	date:Thu,%2027%20Jun%202019%2017:27:58%20GMT	https://www.ilabsolutions.it/css/portfolio_style.css	C:/Users/User/Documents/Projects/sites/ilab/www.ilabsolutions.it/css/portfolio_style.css	(from https://www.ilabsolutions.it/)
19:27:43	85578/85578	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-14e4a%22	https://code.jquery.com/jquery-2.2.4.min.js	C:/Users/User/Documents/Projects/sites/ilab/code.jquery.com/jquery-2.2.4.min.js	(from https://www.ilabsolutions.it/)
19:27:43	17179/17179	---M--	200	added ('OK')	text/javascript	date:Thu,%2027%20Jun%202019%2017:28:05%20GMT	https://www.ilabsolutions.it/js/libs/anime.min.js	C:/Users/User/Documents/Projects/sites/ilab/www.ilabsolutions.it/js/libs/anime.min.js	(from https://www.ilabsolutions.it/)
19:27:44	8307/8307	---M--	200	added ('OK')	text/javascript	date:Thu,%2027%20Jun%202019%2017:28:04%20GMT	https://www.ilabsolutions.it/js/blob-min.js	C:/Users/User/Documents/Projects/sites/ilab/www.ilabsolutions.it/js/blob-min.js	(from https://www.ilabsolutions.it/)
19:27:44	104011/104011	---M--	200	added ('OK')	text/javascript	date:Thu,%2027%20Jun%202019%2017:28:04%20GMT	https://www.ilabsolutions.it/js/libs/jsband-min.js	C:/Users/User/Documents/Projects/sites/ilab/www.ilabsolutions.it/js/libs/jsband-min.js	(from https://www.ilabsolutions.it/)
19:27:44	16062/16062	---M--	200	added ('OK')	text/javascript	date:Thu,%2004%20Jul%202019%2011:07:54%20GMT	https://www.ilabsolutions.it/js/main.js	C:/Users/User/Documents/Projects/sites/ilab/www.ilabsolutions.it/js/main.js	(from https://www.ilabsolutions.it/)
19:27:44	2144/2144	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Jun%202019%2017:28:00%20GMT	https://www.ilabsolutions.it/img/apple-touch-icon.png	C:/Users/User/Documents/Projects/sites/ilab/www.ilabsolutions.it/img/apple-touch-icon.png	(from https://www.ilabsolutions.it/)
19:27:44	693/693	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Jun%202019%2017:28:00%20GMT	https://www.ilabsolutions.it/img/favicon-32x32.png	C:/Users/User/Documents/Projects/sites/ilab/www.ilabsolutions.it/img/favicon-32x32.png	(from https://www.ilabsolutions.it/)
19:27:44	529/529	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Jun%202019%2017:28:01%20GMT	https://www.ilabsolutions.it/img/favicon-16x16.png	C:/Users/User/Documents/Projects/sites/ilab/www.ilabsolutions.it/img/favicon-16x16.png	(from https://www.ilabsolutions.it/)
19:27:45	426/426	---M--	200	added ('OK')	text/html	date:Thu,%2027%20Jun%202019%2017:28:00%20GMT	https://www.ilabsolutions.it/img/site.webmanifest	C:/Users/User/Documents/Projects/sites/ilab/www.ilabsolutions.it/img/site.html	(from https://www.ilabsolutions.it/)
19:27:45	891/891	---MCZ	200	added ('OK')	image/svg+xml	date:Thu,%2027%20Jun%202019%2017:28:00%20GMT	https://www.ilabsolutions.it/img/safari-pinned-tab.svg	C:/Users/User/Documents/Projects/sites/ilab/www.ilabsolutions.it/img/safari-pinned-tab.svg	(from https://www.ilabsolutions.it/)
19:27:46	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2008%20Oct%202025%2023:27:45%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/User/Documents/Projects/sites/ilab/www.googletagmanager.com/gtm.d5445.delayed	(from https://www.ilabsolutions.it/)
19:27:46	329241/329241	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2008%20Oct%202025%2023:27:45%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/User/Documents/Projects/sites/ilab/connect.facebook.net/en_US/fbevents.js	(from https://www.ilabsolutions.it/)
19:27:46	5887/5887	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Jun%202019%2017:28:02%20GMT	https://www.ilabsolutions.it/img/clienti/001_01.png	C:/Users/User/Documents/Projects/sites/ilab/www.ilabsolutions.it/img/clienti/001_01.png	(from https://www.ilabsolutions.it/)
